iter	Passed	Remaining
0	15	15784
1	54	27026
2	89	29848
3	96	23905
4	110	22018
5	116	19360
6	124	17645
7	144	17928
8	158	17481
9	203	20139
10	249	22427
11	256	21119
12	308	23443
13	426	30019
14	441	29000
15	572	35224
16	578	33474
17	603	32914
18	614	31752
19	629	30824
20	644	30045
21	772	34360
22	806	34274
23	841	34207
24	854	33337
25	879	32942
26	916	33017
27	950	32985
28	1001	33532
29	1089	35233
30	1221	38192
31	1229	37188
32	1330	38976
33	1467	41695
34	1574	43408
35	1666	44616
36	1801	46884
37	1924	48726
38	2041	50306
39	2161	51870
40	2289	53559
41	2414	55081
42	2544	56625
43	2670	58013
44	2796	59347
45	2926	60690
46	3046	61780
47	3178	63035
48	3309	64227
49	3437	65319
50	3565	66343
51	3692	67323
52	3859	68954
53	3989	69888
54	4123	70854
55	4250	71655
56	4381	72479
57	4500	73096
58	4611	73554
59	4740	74274
60	4854	74732
61	4985	75421
62	5099	75845
63	5230	76492
64	5357	77068
65	5471	77428
66	5598	77966
67	5721	78416
68	5839	78786
69	5971	79339
70	6102	79851
71	6234	80356
72	6358	80747
73	6487	81175
74	6606	81474
75	6734	81878
76	6846	82067
77	6974	82443
78	7093	82699
79	7229	83139
80	7350	83396
81	7479	83733
82	7611	84091
83	7731	84305
84	7852	84526
85	7976	84775
86	8103	85035
87	8224	85240
88	8348	85452
89	8463	85571
90	8596	85865
91	8720	86065
92	8839	86212
93	8965	86413
94	9093	86622
95	9220	86821
96	9346	87013
97	9469	87158
98	9585	87241
99	9713	87423
100	9837	87559
101	9958	87672
102	10086	87840
103	10213	87996
104	10332	88074
105	10452	88156
106	10575	88261
107	10705	88419
108	10837	88590
109	10966	88728
110	11088	88809
111	11212	88897
112	11333	88964
113	11450	88991
114	11563	88985
115	11693	89114
116	11809	89129
