iter	MultiClass
0	0.988376618
1	0.9088189392
2	0.8489553921
3	0.8026789645
4	0.7662222251
5	0.7370203081
6	0.7136259611
7	0.6946139556
8	0.678991151
9	0.6663682217
10	0.6558551217
11	0.6470239617
12	0.6399488365
13	0.6342419079
14	0.6295633574
15	0.6257388017
16	0.6226117851
17	0.6200645785
18	0.6179844074
19	0.6163045459
20	0.6147391948
21	0.6136278428
22	0.6126937051
23	0.6119370662
24	0.6113176497
25	0.6108666487
26	0.6103770457
27	0.610092338
28	0.6097182151
29	0.6095256015
30	0.6093782939
31	0.6091868202
32	0.6089304143
33	0.6088623483
34	0.608665452
35	0.6086239492
36	0.6085398462
37	0.6080551014
38	0.607968847
39	0.6077869419
40	0.607717346
41	0.6076950093
42	0.6076880059
43	0.6076025604
44	0.6073509844
45	0.6072426321
46	0.6072361607
47	0.6071246218
48	0.6070411538
49	0.6066660559
50	0.6066454166
51	0.6063995531
52	0.6063462095
53	0.6063232422
54	0.6062654274
55	0.6062561854
56	0.6062559734
57	0.6060884716
58	0.6060883475
59	0.6058733218
60	0.6053171647
61	0.6051053582
62	0.6050140486
63	0.6047259552
64	0.6046428218
65	0.6045862557
66	0.6045841968
67	0.6044381358
68	0.6041270292
69	0.6041270029
70	0.6039924611
71	0.6037112039
72	0.6035655142
73	0.6031725991
74	0.6028136201
75	0.6026102419
76	0.6026102307
77	0.6023864718
78	0.6022445033
79	0.6019764156
80	0.601966119
81	0.6018169127
82	0.6018080215
83	0.6017722059
84	0.6017722002
85	0.6016428054
86	0.6015320938
87	0.6015320897
88	0.6014699308
89	0.6014308747
90	0.6013494219
91	0.6009826849
92	0.6009710181
93	0.6009650511
94	0.6003233459
95	0.6002081785
96	0.6000922068
97	0.5998976636
98	0.5993880183
99	0.5990406026
100	0.5988618983
101	0.5985665421
102	0.5982380063
103	0.5976485512
104	0.5971299989
105	0.5963141813
106	0.5960267222
107	0.5958237252
108	0.5954595108
109	0.5952027195
110	0.5946641252
111	0.5943484682
112	0.5940552692
113	0.593493588
114	0.5930551586
115	0.5926479285
116	0.5923493107
117	0.5921691486
118	0.5916791099
119	0.591269016
120	0.5908760511
121	0.5904739649
122	0.5898829501
123	0.5894762231
124	0.5891484776
125	0.589015482
126	0.5887071339
127	0.5882968037
128	0.5880035727
129	0.5876111468
130	0.5873277145
131	0.5868069642
132	0.5865069999
133	0.5861576546
134	0.58603391
135	0.585825649
136	0.5854864499
137	0.5853119369
138	0.5850751476
139	0.5847220286
140	0.5843702263
141	0.5841566351
142	0.5837450644
143	0.5833923439
144	0.5832974535
145	0.5831198073
146	0.5829020215
147	0.5826228811
148	0.582535165
149	0.582389507
150	0.5822343443
151	0.5819506579
152	0.5818057959
153	0.5815629366
154	0.5811812604
155	0.5809112702
156	0.5808310164
157	0.5804597604
158	0.5802204038
159	0.5800804834
160	0.5797428119
161	0.5793298611
162	0.5791075647
163	0.5787245571
164	0.5782897199
165	0.5780764031
166	0.5777592429
167	0.5773301922
168	0.5770767261
169	0.5769283654
170	0.5767732306
171	0.5764743356
172	0.5760692576
173	0.5759773362
174	0.5758996571
175	0.5756836078
176	0.575498172
177	0.5750749091
178	0.5746574879
179	0.5743721557
180	0.5741491661
181	0.5739260908
182	0.5737052276
183	0.5735594276
184	0.5733334343
185	0.5730728965
186	0.5729259352
187	0.5726539613
188	0.572464204
189	0.5722753061
190	0.5721142157
191	0.5718283495
192	0.5716568518
193	0.5713928699
194	0.5711433446
195	0.5709697384
196	0.5706922468
197	0.5704241905
198	0.5701231618
199	0.5699750275
200	0.5698842748
201	0.5697005506
202	0.5696549503
203	0.5694179316
204	0.5692700546
205	0.5691198467
206	0.5689733745
207	0.5687156612
208	0.5685814174
209	0.5684140096
210	0.5682755912
211	0.5681512521
212	0.5676736188
213	0.5672085049
214	0.5669965849
215	0.5668176016
