iter	MultiClass
0	0.9955468908
1	0.9193069079
2	0.8609285014
3	0.8151576383
4	0.7786006263
5	0.7490486276
6	0.7249585411
7	0.7052227584
8	0.688956876
9	0.6755096466
10	0.6640853601
11	0.6545462936
12	0.6466319101
13	0.6401982652
14	0.6348415449
15	0.6303427485
16	0.6265072964
17	0.623403514
18	0.6208657796
19	0.6187513981
20	0.6168506105
21	0.6149713361
22	0.6133787679
23	0.6120415869
24	0.6105193601
25	0.6097254869
26	0.6089494144
27	0.6079121885
28	0.6070045382
29	0.6063688922
30	0.605750269
31	0.6049343508
32	0.6041681375
33	0.6037119988
34	0.6032217794
35	0.602846004
36	0.6023793623
37	0.60185236
38	0.6012547274
39	0.6008210801
40	0.6005429467
41	0.6002709083
42	0.6000315012
43	0.5996959952
44	0.5993703977
45	0.5992895716
46	0.5990760759
47	0.5987563158
48	0.5984570397
49	0.5983189703
50	0.598073643
51	0.5978742361
52	0.5976393743
53	0.5973419637
54	0.5972025329
55	0.5970032544
56	0.5969186255
57	0.5967014413
58	0.5962203565
59	0.595827671
60	0.5955193979
61	0.5953115926
62	0.595150255
63	0.5946414984
64	0.5945197566
65	0.5944796327
66	0.59423467
67	0.5940625404
68	0.5937656159
69	0.5933247317
70	0.5931666576
71	0.5930267339
72	0.5928064317
73	0.5924749401
74	0.5922798923
75	0.5921703348
76	0.5919991425
77	0.5917099413
78	0.5914331548
79	0.5909233159
80	0.5907288469
81	0.5903214648
82	0.5901123224
83	0.5900264541
84	0.5897843147
85	0.5895624418
86	0.5893246844
87	0.5891207657
88	0.5887547966
89	0.5885507005
90	0.5880415218
91	0.5876766234
92	0.5873333879
93	0.587193516
94	0.5869564498
95	0.5864927377
96	0.5864358754
97	0.5860298422
98	0.5859556905
99	0.5858145899
100	0.5855395445
101	0.5853252319
102	0.5850362999
103	0.5849386622
104	0.5846738353
105	0.5843623893
106	0.5840327327
107	0.5836661202
108	0.5834912781
109	0.5832394881
110	0.5829577716
111	0.5827354194
112	0.5826431135
113	0.582458852
114	0.5822034064
115	0.5816300941
116	0.5815039169
117	0.581329901
118	0.5809739204
119	0.5806080994
120	0.5804448119
121	0.580242284
122	0.5801453478
123	0.5800399634
124	0.57979359
125	0.5795809987
126	0.5794458241
127	0.5789203639
128	0.5785695902
129	0.5784380446
130	0.5782340694
131	0.5778631206
132	0.5776261927
133	0.5774486529
134	0.5773752124
135	0.5770248942
136	0.5767611513
137	0.5766991075
138	0.5764744492
139	0.5761586501
140	0.5760244118
141	0.5756118372
142	0.5752658899
143	0.5750363407
144	0.5747787939
145	0.5747045218
146	0.5745377159
147	0.5742104333
148	0.574090902
149	0.573838001
150	0.5735116015
151	0.5732250034
152	0.5729345886
153	0.5727746841
154	0.5723765383
155	0.5722234909
156	0.5719562916
157	0.5716748843
158	0.5711789675
159	0.5707469787
160	0.5703475556
161	0.5698992826
162	0.5695865462
163	0.5694584953
164	0.5692298052
165	0.5690081855
166	0.5687601172
167	0.5685880273
168	0.5683781621
169	0.5682173891
170	0.5680366492
171	0.5678045946
172	0.5676726972
173	0.5675456828
174	0.5673984807
175	0.5671790837
176	0.5670006517
177	0.5667894326
178	0.566236938
179	0.5660197034
180	0.5657944697
181	0.5655246585
182	0.5653454597
183	0.5650348102
184	0.5647533004
185	0.5646312278
186	0.5644935214
187	0.5642701368
188	0.5642050067
189	0.5640976631
190	0.5635368276
191	0.5633935833
192	0.5632139046
193	0.5630567465
194	0.5626657502
195	0.5624823088
196	0.5622513365
197	0.5619581365
198	0.5618715495
199	0.5616772649
200	0.5615326037
201	0.5613969191
202	0.5612983718
203	0.5608594318
204	0.5607288877
205	0.5604700803
206	0.5601793776
207	0.5600426387
208	0.5596765879
209	0.5595609835
210	0.5590747503
211	0.558817829
212	0.5586816788
213	0.5583373689
214	0.5578540178
