iter	Passed	Remaining
0	16	16795
1	24	12297
2	49	16543
3	80	20052
4	94	18827
5	101	16883
6	126	17915
7	139	17320
8	145	16054
9	151	15034
10	181	16341
11	209	17256
12	227	17303
13	247	17426
14	273	17956
15	303	18643
16	316	18307
17	344	18808
18	358	18507
19	364	17868
20	392	18291
21	412	18336
22	444	18864
23	457	18595
24	476	18570
25	504	18893
26	516	18609
27	540	18769
28	552	18499
29	564	18257
30	588	18408
31	607	18368
32	635	18612
33	664	18876
34	689	19008
35	709	18988
36	729	18982
37	759	19237
38	780	19243
39	793	19052
40	822	19227
41	849	19377
42	878	19559
43	892	19388
44	921	19559
45	950	19716
46	965	19579
47	995	19746
48	1026	19922
49	1055	20048
50	1083	20159
51	1110	20247
52	1134	20267
53	1162	20369
54	1192	20497
55	1224	20643
56	1253	20734
57	1274	20698
58	1280	20429
59	1304	20443
60	1331	20496
61	1350	20435
62	1381	20540
63	1412	20662
64	1443	20766
65	1473	20855
66	1499	20883
67	1527	20935
68	1557	21009
69	1586	21080
70	1600	20944
71	1628	20984
72	1656	21039
73	1670	20903
74	1698	20950
75	1727	20997
76	1755	21045
77	1784	21098
78	1813	21145
79	1845	21219
80	1871	21238
81	1902	21296
82	1930	21329
83	1963	21408
84	1996	21489
85	2021	21486
86	2050	21521
87	2079	21555
88	2109	21587
89	2137	21614
90	2167	21654
91	2193	21646
92	2221	21666
93	2249	21684
94	2278	21706
95	2307	21731
96	2336	21754
97	2368	21798
98	2402	21862
99	2433	21900
100	2462	21917
101	2491	21937
102	2521	21962
103	2550	21972
104	2580	21993
105	2610	22014
106	2641	22042
107	2670	22058
108	2698	22056
109	2726	22062
110	2758	22094
111	2788	22110
112	2818	22126
113	2847	22128
114	2876	22136
115	2900	22102
116	2931	22121
117	2960	22129
118	2993	22159
119	3024	22176
120	3054	22189
121	3082	22185
122	3112	22193
123	3141	22194
124	3170	22191
125	3200	22200
126	3229	22196
127	3256	22188
128	3283	22170
129	3311	22161
130	3337	22142
131	3370	22166
132	3403	22186
133	3436	22212
134	3467	22216
135	3498	22224
136	3528	22223
137	3556	22218
138	3586	22212
139	3615	22209
140	3645	22208
141	3675	22206
142	3704	22199
143	3733	22192
144	3761	22182
145	3790	22171
146	3821	22174
147	3851	22169
148	3881	22167
149	3912	22168
150	3941	22159
151	3972	22160
152	4004	22166
153	4032	22154
154	4061	22142
155	4090	22128
156	4121	22132
157	4150	22118
158	4177	22097
159	4208	22092
160	4237	22081
161	4267	22074
162	4293	22046
163	4324	22043
164	4354	22035
165	4385	22030
166	4418	22040
167	4450	22039
168	4482	22040
169	4512	22032
170	4544	22033
171	4573	22017
172	4603	22005
173	4631	21987
174	4661	21973
175	4689	21955
176	4719	21945
177	4750	21938
178	4779	21920
179	4810	21913
180	4835	21880
181	4861	21849
182	4892	21842
183	4918	21814
184	4949	21803
185	4981	21799
186	5012	21794
187	5041	21775
188	5071	21761
189	5099	21738
190	5128	21724
191	5157	21704
192	5187	21692
193	5216	21673
194	5248	21665
195	5276	21643
196	5305	21627
197	5337	21618
198	5367	21604
199	5398	21592
200	5432	21593
201	5460	21569
202	5491	21561
203	5520	21540
204	5550	21526
205	5580	21509
206	5610	21493
207	5639	21471
208	5666	21445
209	5696	21430
210	5723	21400
211	5752	21380
212	5781	21361
213	5810	21341
214	5841	21328
215	5871	21311
216	5900	21292
217	5930	21274
218	5960	21257
219	5992	21247
220	6024	21234
221	6053	21215
222	6085	21203
223	6115	21184
224	6144	21162
225	6173	21142
226	6203	21124
227	6234	21108
228	6264	21089
229	6291	21064
230	6321	21042
231	6352	21030
232	6384	21017
233	6416	21004
234	6447	20989
235	6475	20961
236	6506	20948
237	6535	20926
238	6566	20907
239	6595	20886
240	6625	20865
241	6656	20849
242	6685	20826
243	6717	20811
244	6745	20786
245	6775	20767
246	6804	20742
247	6834	20725
248	6864	20703
249	6893	20680
250	6923	20661
251	6954	20643
252	6985	20625
253	7018	20613
254	7046	20585
255	7073	20557
256	7102	20534
257	7126	20495
258	7155	20473
259	7186	20453
260	7214	20428
261	7244	20405
262	7273	20381
263	7302	20357
264	7332	20338
265	7363	20319
266	7396	20305
267	7428	20288
268	7456	20263
269	7487	20242
270	7517	20222
271	7544	20192
272	7573	20168
273	7603	20145
274	7632	20120
275	7661	20097
276	7690	20073
277	7721	20053
278	7753	20035
279	7783	20013
280	7813	19992
281	7843	19971
282	7873	19947
283	7904	19929
284	7935	19907
285	7965	19886
286	7992	19856
287	8026	19844
288	8056	19821
289	8087	19800
290	8116	19774
291	8147	19754
292	8176	19730
293	8206	19707
294	8236	19683
295	8265	19658
296	8297	19639
297	8327	19617
298	8360	19601
299	8392	19582
300	8422	19559
301	8452	19536
302	8483	19514
303	8512	19490
304	8543	19467
305	8574	19446
306	8604	19422
307	8634	19400
308	8662	19371
309	8691	19346
310	8720	19320
311	8749	19294
312	8779	19270
313	8808	19244
314	8839	19221
315	8865	19190
