idx,created_at,tree_dbh,curb_loc,steward,guards,sidewalk,user_type,problems,spc_common,spc_latin,nta,nta_name,borocode,boro_ct,boroname,zip_city,cb_num,st_senate,st_assem,cncldist,health
0,41,14,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1
1,491,5,0,0,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
2,117,26,0,,,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
3,356,15,0,,,0,1,,2,2,3,3,2,3,2,2,2,2,2,2,0
4,402,23,0,,,1,0,1,3,3,4,4,3,4,3,3,3,3,3,3,1
5,84,12,0,,,0,0,,4,4,5,5,0,5,0,4,4,0,4,4,1
6,158,8,0,,0,0,0,2,5,5,5,5,0,6,0,4,4,4,4,4,1
7,382,6,0,,,1,1,,6,6,6,6,0,7,0,5,5,5,5,5,0
8,430,18,0,,,0,2,,7,7,7,7,4,8,4,6,6,6,6,6,1
9,147,20,0,,,1,0,1,3,3,8,8,0,9,0,4,4,4,0,4,1
10,164,15,0,,,1,1,,8,8,9,9,0,10,0,7,7,7,7,7,1
11,130,4,0,,,0,0,,9,9,10,10,2,11,2,2,8,2,8,8,0
12,78,14,0,,,0,0,,10,10,11,11,4,12,4,6,9,6,9,9,1
13,60,4,0,,,1,0,,6,6,12,12,2,13,2,2,2,2,8,8,1
14,103,6,0,1,0,0,0,,11,11,13,13,0,14,0,8,4,0,10,10,1
15,117,5,1,1,1,1,0,,12,12,14,14,0,15,0,9,10,5,11,11,1
16,8,8,0,,,1,0,,13,13,15,15,2,16,2,2,11,2,12,8,1
17,464,4,0,,,1,2,,9,9,16,16,2,17,2,2,2,2,2,2,1
18,284,16,0,,,1,1,,6,6,17,17,4,18,4,6,9,6,13,12,2
19,85,6,0,1,,1,0,,14,14,18,18,3,19,3,3,12,8,14,13,1
20,53,4,0,1,0,0,0,,11,11,19,19,4,20,4,6,13,9,15,14,1
21,178,12,0,0,0,1,0,1,11,11,20,20,0,21,0,10,14,10,16,15,1
22,91,30,0,,,1,2,,10,10,4,4,3,22,3,3,3,3,3,3,1
23,481,4,0,,,1,2,,7,7,21,21,0,23,0,11,0,0,17,0,1
24,128,5,0,1,,0,1,,15,15,22,22,0,24,0,12,15,4,18,16,1
25,55,5,1,1,,1,1,,10,10,23,23,2,25,2,2,2,2,12,2,1
26,430,27,0,,,0,2,1,11,11,24,24,4,26,4,6,16,11,19,17,1
27,446,6,0,,,1,0,,6,6,9,9,0,10,0,7,7,7,7,7,1
28,135,22,0,,,1,2,3,16,16,25,25,3,27,3,3,17,12,20,18,1
29,34,11,0,0,2,0,0,4,5,5,26,26,2,28,2,2,11,13,21,19,1
30,143,28,0,,,1,1,,16,16,27,27,3,29,3,3,17,12,20,20,1
31,126,5,0,1,0,0,0,,3,3,28,28,3,30,3,3,18,3,22,18,1
32,39,14,0,,,0,0,2,17,17,29,29,0,31,0,13,14,0,5,0,0
33,155,6,0,,,1,2,,10,10,30,30,0,32,0,14,19,4,23,21,1
34,141,6,0,1,0,1,1,,3,3,31,31,0,33,0,15,20,7,24,22,1
35,407,7,0,,,1,0,,6,6,32,32,3,34,3,3,21,8,25,13,1
36,482,4,0,,,1,0,,18,18,21,21,0,35,0,16,0,0,11,0,1
37,84,7,0,1,,1,0,,1,1,23,23,2,25,2,2,2,2,2,2,1
38,84,15,0,,,0,0,5,8,8,33,33,0,36,0,9,5,10,26,23,1
39,53,5,0,0,,1,2,,6,6,34,34,4,37,4,6,22,14,27,24,1
40,44,8,0,,,0,1,,19,19,35,35,0,38,0,17,20,7,28,22,1
41,433,6,0,,0,1,0,6,16,16,36,36,1,39,1,1,23,15,29,25,1
42,153,13,0,,,0,2,,6,6,37,37,4,40,4,6,24,16,30,26,1
43,76,14,0,,,0,0,7,16,16,38,38,0,41,0,18,25,17,31,16,1
44,69,7,0,,,1,2,,9,9,12,12,2,42,2,2,2,2,2,8,1
45,186,4,0,1,0,0,0,,20,20,38,38,0,43,0,19,25,17,18,27,1
46,53,5,0,1,,1,0,,21,21,39,39,4,44,4,6,16,11,19,17,1
47,185,21,0,,,0,2,1,16,16,40,40,0,45,0,17,20,7,23,22,1
48,156,3,1,0,0,0,0,,21,21,41,41,3,46,3,3,26,3,32,3,0
49,202,21,1,,1,1,2,0,3,3,42,42,0,47,0,20,15,4,33,16,0
50,435,7,0,,0,0,2,,22,22,3,3,2,48,2,2,2,2,2,2,1
51,76,7,0,,,0,2,,21,21,25,25,3,49,3,3,17,12,20,20,0
52,358,15,0,,,1,1,,17,17,28,28,3,50,3,3,18,18,22,28,0
53,92,24,0,,,0,0,,2,2,43,43,0,51,0,21,27,19,34,27,0
54,412,11,0,,,0,0,,5,5,44,44,0,52,0,22,28,19,28,29,1
55,149,3,0,1,0,0,0,,23,23,45,45,0,53,0,23,14,5,5,5,1
56,175,2,0,,,0,0,8,16,16,46,46,0,54,0,4,4,0,10,10,1
57,67,6,0,1,,0,0,,24,24,35,35,0,55,0,17,20,19,28,12,1
58,405,5,0,,,1,2,,16,16,47,47,0,56,0,24,29,7,7,7,1
59,394,4,0,1,0,0,0,,11,11,48,48,4,57,4,6,30,14,35,30,1
60,166,29,0,,,0,1,2,25,25,49,49,2,58,2,2,8,2,12,8,1
61,176,18,0,,2,0,2,4,5,5,45,45,0,59,0,23,14,5,5,5,1
62,20,17,0,,0,0,0,,5,5,48,48,4,60,4,6,30,14,36,30,0
63,402,4,0,,,0,2,2,16,16,50,50,4,61,4,6,30,11,35,9,1
64,85,16,0,1,1,1,0,9,24,24,18,18,3,19,3,3,12,8,14,13,0
65,364,6,0,,,1,2,,11,11,51,51,4,62,4,6,30,20,35,30,1
66,85,5,0,,,0,0,10,8,8,52,52,3,63,3,3,31,21,37,31,1
67,157,14,0,,,1,2,,21,21,53,53,4,64,4,6,32,22,38,32,1
68,123,6,1,,,1,2,2,5,5,54,54,1,65,1,1,33,15,39,33,1
69,129,3,0,,,0,0,11,0,0,55,55,4,66,4,6,34,9,8,34,1
70,404,27,0,,,1,0,,8,8,56,56,4,67,4,6,35,6,13,6,1
71,469,24,0,,,1,2,2,3,3,57,57,4,68,4,6,13,9,15,35,1
72,79,9,0,,0,0,0,,26,26,58,58,4,69,4,6,36,11,40,36,1
73,33,13,0,1,1,1,0,,10,10,59,59,3,70,3,3,37,20,41,37,1
74,426,17,1,,,0,0,,27,27,14,14,0,71,0,4,10,7,10,11,0
75,63,16,0,,,0,2,1,3,3,7,7,4,72,4,6,6,16,42,38,0
76,143,9,0,,0,0,2,,21,21,52,52,3,73,3,3,31,21,37,31,0
77,197,14,0,,,0,2,1,11,11,60,60,2,74,2,2,11,2,21,19,1
78,131,20,0,,,0,2,,28,28,52,52,3,73,3,3,31,21,37,31,1
79,123,14,0,,,0,0,,9,9,61,61,0,75,0,25,7,10,11,23,0
80,168,3,0,0,0,1,2,,6,6,60,60,2,74,2,2,11,2,21,19,1
81,165,4,0,,,0,2,,16,16,29,29,0,76,0,16,14,0,11,0,0
82,476,18,0,,,1,1,,11,11,60,60,2,77,2,2,11,13,21,19,1
83,162,7,0,,,0,2,,29,29,49,49,2,78,2,2,8,2,12,8,1
84,120,3,0,,0,1,0,2,11,11,62,62,2,79,2,2,8,2,8,8,1
85,107,5,0,,,0,2,2,21,21,63,63,0,80,0,4,27,17,18,39,1
86,485,2,0,1,0,1,1,,28,28,64,64,2,81,2,2,2,2,2,2,1
87,57,5,0,,,1,2,1,3,3,65,65,1,82,1,1,38,23,43,40,1
88,196,14,0,,,0,1,,30,30,66,66,0,83,0,26,14,10,44,15,1
89,476,3,1,1,0,0,0,1,26,26,67,67,1,84,1,1,39,23,45,40,0
90,470,18,0,,,1,2,,31,31,7,7,4,85,4,6,6,16,42,38,1
91,194,3,0,,,0,2,,5,5,11,11,4,12,4,6,9,6,9,9,1
92,169,14,0,,,0,1,,2,2,68,68,4,86,4,6,13,24,46,35,1
93,403,9,0,,,1,0,,5,5,6,6,0,87,0,9,5,5,16,5,1
94,29,31,0,,,0,2,1,16,16,69,69,0,88,0,27,15,17,33,39,1
