idx,created_at,tree_dbh,curb_loc,health,steward,guards,sidewalk,user_type,problems,spc_common,spc_latin,nta,nta_name,borocode,boro_ct,boroname,zip_city,cb_num,st_senate,st_assem,cncldist,health_is_0,health_is_1,health_is_2
0,2015-06-29,14,OnCurb,1,,,Damage,Volunteer,,English oak,Quercus robur,QN45,Douglas Manor-Douglaston-Little Neck,4,4152901,Queens,Little Neck,411,11,25,23,0,1,0
1,2016-09-21,5,OnCurb,1,3or4,Helpful,NoDamage,Volunteer,,crimson king maple,Acer platanoides 'Crimson King',BX05,Bedford Park-Fordham North,2,2039901,Bronx,Bronx,207,33,78,15,0,1,0
2,2015-09-13,26,OnCurb,2,,,NoDamage,Volunteer,StonesBranchLights,English oak,Quercus robur,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5,5017011,Staten Island,Staten Island,503,24,62,51,0,0,1
3,2016-05-09,15,OnCurb,0,,,Damage,NYC Parks Staff,,honeylocust,Gleditsia triacanthos var. inermis,SI11,Charleston-Richmond Valley-Tottenville,5,5024401,Staten Island,Staten Island,503,24,62,51,1,0,0
4,2016-06-24,23,OnCurb,1,,,NoDamage,Volunteer,Stones,London planetree,Platanus x acerifolia,MN03,Central Harlem North-Polo Grounds,1,1022102,Manhattan,New York,110,30,70,9,0,1,0
5,2015-08-11,12,OnCurb,1,,,Damage,Volunteer,,Amur cork tree,Phellodendron amurense,QN22,Flushing,4,4088901,Queens,Flushing,407,11,40,20,0,1,0
6,2015-10-24,8,OnCurb,1,,Helpful,Damage,Volunteer,BranchLights,littleleaf linden,Tilia cordata,QN22,Flushing,4,4086500,Queens,Flushing,407,16,40,20,0,1,0
7,2016-06-04,6,OnCurb,0,,,NoDamage,NYC Parks Staff,,cherry,Prunus,QN08,St. Albans,4,4052400,Queens,Saint Albans,412,14,33,27,1,0,0
8,2016-07-22,18,OnCurb,1,,,Damage,TreesCount Staff,,Siberian elm,Ulmus pumila,BK82,East New York,3,3116600,Brooklyn,Brooklyn,305,18,54,37,0,1,0
9,2015-10-13,20,OnCurb,1,,,NoDamage,Volunteer,Stones,London planetree,Platanus x acerifolia,QN52,East Flushing,4,4120300,Queens,Flushing,407,16,25,20,0,1,0
10,2015-10-30,15,OnCurb,1,,,NoDamage,NYC Parks Staff,,Norway maple,Acer platanoides,QN56,Ozone Park,4,4008600,Queens,Ozone Park,410,15,23,32,0,1,0
11,2015-09-26,4,OnCurb,0,,,Damage,Volunteer,,Japanese zelkova,Zelkova serrata,SI45,New Dorp-Midland Beach,5,5011202,Staten Island,Staten Island,502,24,64,50,1,0,0
12,2015-08-05,14,OnCurb,1,,,Damage,Volunteer,,green ash,Fraxinus pennsylvanica,BK76,Greenpoint,3,3057500,Brooklyn,Brooklyn,301,18,50,33,0,1,0
13,2015-07-18,4,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,SI25,Oakwood-Oakwood Beach,5,5012806,Staten Island,Staten Island,503,24,64,50,0,1,0
14,2015-08-30,6,OnCurb,1,1or2,Helpful,Damage,Volunteer,,American elm,Ulmus americana,QN49,Whitestone,4,4097300,Queens,Whitestone,407,11,27,19,0,1,0
15,2015-09-13,5,OffsetFromCurb,1,1or2,Harmful,NoDamage,Volunteer,,Kentucky coffeetree,Gymnocladus dioicus,QN37,Kew Gardens Hills,4,4077905,Queens,Jamaica,408,14,24,24,0,1,0
16,2015-05-27,8,OnCurb,1,,,NoDamage,Volunteer,,Amur maackia,Maackia amurensis,SI07,Westerleigh,5,5018901,Staten Island,Staten Island,501,24,63,50,0,1,0
17,2016-08-25,4,OnCurb,1,,,NoDamage,TreesCount Staff,,Japanese zelkova,Zelkova serrata,SI32,Rossville-Woodrow,5,5020804,Staten Island,Staten Island,503,24,62,51,0,1,0
18,2016-02-27,16,OnCurb,2,,,NoDamage,NYC Parks Staff,,cherry,Prunus,BK90,East Williamsburg,3,3050300,Brooklyn,Brooklyn,301,18,53,34,0,0,1
19,2015-08-12,6,OnCurb,1,1or2,,NoDamage,Volunteer,,silver linden,Tilia tomentosa,MN23,West Village,1,1007300,Manhattan,New York,102,27,66,3,0,1,0
20,2015-07-11,4,OnCurb,1,1or2,Helpful,Damage,Volunteer,,American elm,Ulmus americana,BK26,Gravesend,3,3039800,Brooklyn,Brooklyn,315,22,45,47,0,1,0
21,2015-11-13,12,OnCurb,1,3or4,Helpful,NoDamage,Volunteer,Stones,American elm,Ulmus americana,QN05,Rosedale,4,4065600,Queens,Rosedale,413,10,29,31,0,1,0
22,2015-08-18,30,OnCurb,1,,,NoDamage,TreesCount Staff,,green ash,Fraxinus pennsylvanica,MN03,Central Harlem North-Polo Grounds,1,1021200,Manhattan,New York,110,30,70,9,0,1,0
23,2016-09-11,4,OnCurb,1,,,NoDamage,TreesCount Staff,,Siberian elm,Ulmus pumila,QN42,Oakland Gardens,4,4138501,Queens,Oakland Gardens,411,11,26,23,0,1,0
24,2015-09-24,5,OnCurb,1,1or2,,Damage,NYC Parks Staff,,Schumard's oak,Quercus shumardii,QN29,Elmhurst,4,4047500,Queens,Elmhurst,404,16,35,25,0,1,0
25,2015-07-13,5,OffsetFromCurb,1,1or2,,NoDamage,NYC Parks Staff,,green ash,Fraxinus pennsylvanica,SI48,Arden Heights,5,5017010,Staten Island,Staten Island,503,24,63,51,0,1,0
26,2016-07-22,27,OnCurb,1,,,Damage,TreesCount Staff,Stones,American elm,Ulmus americana,BK61,Crown Heights North,3,3024700,Brooklyn,Brooklyn,303,25,56,36,0,1,0
27,2016-08-07,6,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,QN56,Ozone Park,4,4008600,Queens,Ozone Park,410,15,23,32,0,1,0
28,2015-10-01,22,OnCurb,1,,,NoDamage,TreesCount Staff,StonesTrunkOther,pin oak,Quercus palustris,MN36,Washington Heights South,1,1024500,Manhattan,New York,112,31,71,7,0,1,0
29,2015-06-22,11,OnCurb,1,3or4,Unsure,Damage,Volunteer,StonesWiresRopeBranchLights,littleleaf linden,Tilia cordata,SI28,Port Richmond,5,5020700,Staten Island,Staten Island,501,23,61,49,0,1,0
30,2015-10-09,28,OnCurb,1,,,NoDamage,NYC Parks Staff,,pin oak,Quercus palustris,MN35,Washington Heights North,1,1027300,Manhattan,New York,112,31,71,10,0,1,0
31,2015-09-22,5,OnCurb,1,1or2,Helpful,Damage,Volunteer,,London planetree,Platanus x acerifolia,MN12,Upper West Side,1,1018900,Manhattan,New York,107,30,69,7,0,1,0
32,2015-06-27,14,OnCurb,0,,,Damage,Volunteer,BranchLights,red horse chestnut,Aesculus x carnea,QN43,Bellerose,4,4162100,Queens,Bellerose,413,11,33,23,1,0,0
33,2015-10-21,6,OnCurb,1,,,NoDamage,TreesCount Staff,,green ash,Fraxinus pennsylvanica,QN17,Forest Hills,4,4071303,Queens,Forest Hills,406,16,28,29,0,1,0
34,2015-10-07,6,OnCurb,1,1or2,Helpful,NoDamage,NYC Parks Staff,,London planetree,Platanus x acerifolia,QN21,Middle Village,4,4066300,Queens,Middle Village,405,15,30,30,0,1,0
35,2016-06-29,7,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,MN15,Clinton,1,1012700,Manhattan,New York,104,27,75,3,0,1,0
36,2016-09-12,4,OnCurb,1,,,NoDamage,Volunteer,,American hornbeam,Carpinus caroliniana,QN42,Oakland Gardens,4,4129102,Queens,Queens Village,411,11,24,23,0,1,0
37,2015-08-11,7,OnCurb,1,1or2,,NoDamage,Volunteer,,crimson king maple,Acer platanoides 'Crimson King',SI48,Arden Heights,5,5017010,Staten Island,Staten Island,503,24,62,51,0,1,0
38,2015-08-11,15,OnCurb,1,,,Damage,Volunteer,StonesWiresRope,Norway maple,Acer platanoides,QN61,Jamaica,4,4020400,Queens,Jamaica,412,10,32,28,0,1,0
39,2015-07-11,5,OnCurb,1,3or4,,NoDamage,TreesCount Staff,,cherry,Prunus,BK95,Erasmus,3,3082600,Brooklyn,Brooklyn,317,21,42,40,0,1,0
40,2015-07-02,8,OnCurb,1,,,Damage,NYC Parks Staff,,silver maple,Acer saccharinum,QN20,Ridgewood,4,4059500,Queens,Ridgewood,405,15,37,30,0,1,0
41,2016-07-25,6,OnCurb,1,,Helpful,NoDamage,Volunteer,WiresRope,pin oak,Quercus palustris,BX59,Westchester-Unionport,2,2007800,Bronx,Bronx,209,32,87,18,0,1,0
42,2015-10-19,13,OnCurb,1,,,Damage,TreesCount Staff,,cherry,Prunus,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3,3070201,Brooklyn,Brooklyn,318,19,59,46,0,1,0
43,2015-08-03,14,OnCurb,1,,,Damage,Volunteer,MetalGrates,pin oak,Quercus palustris,QN28,Jackson Heights,4,4027700,Queens,Jackson Heights,403,13,34,25,0,1,0
44,2015-07-27,7,OnCurb,1,,,NoDamage,TreesCount Staff,,Japanese zelkova,Zelkova serrata,SI25,Oakwood-Oakwood Beach,5,5013800,Staten Island,Staten Island,503,24,62,50,0,1,0
45,2015-11-21,4,OnCurb,1,1or2,Helpful,Damage,Volunteer,,ginkgo,Ginkgo biloba,QN28,Jackson Heights,4,4032900,Queens,East Elmhurst,403,13,35,22,0,1,0
46,2015-07-11,5,OnCurb,1,1or2,,NoDamage,Volunteer,,Callery pear,Pyrus calleryana,BK35,Stuyvesant Heights,3,3029500,Brooklyn,Brooklyn,303,25,56,36,0,1,0
47,2015-11-20,21,OnCurb,1,,,Damage,TreesCount Staff,Stones,pin oak,Quercus palustris,QN19,Glendale,4,4063700,Queens,Ridgewood,405,15,28,30,0,1,0
48,2015-10-22,3,OffsetFromCurb,0,3or4,Helpful,Damage,Volunteer,,Callery pear,Pyrus calleryana,MN34,East Harlem North,1,1024200,Manhattan,New York,111,30,68,9,1,0,0
49,2015-12-07,21,OffsetFromCurb,0,,Harmful,NoDamage,TreesCount Staff,StonesBranchLights,London planetree,Platanus x acerifolia,QN50,Elmhurst-Maspeth,4,4026500,Queens,Woodside,404,16,39,25,1,0,0
50,2016-07-27,7,OnCurb,1,,Helpful,Damage,TreesCount Staff,,Turkish hazelnut,Corylus colurna,SI11,Charleston-Richmond Valley-Tottenville,5,5024800,Staten Island,Staten Island,503,24,62,51,0,1,0
51,2015-08-03,7,OnCurb,0,,,Damage,TreesCount Staff,,Callery pear,Pyrus calleryana,MN36,Washington Heights South,1,1026500,Manhattan,New York,112,31,71,10,1,0,0
